,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCG1,2664.735285,0.01844774,0.027803225,0.663510812,0.507003457,0.943365172
ABCG2,427.8172969,0.211221374,0.366766738,0.575901117,0.56468202,0.987550856
ABCG5,632.6049892,0.0142141,0.026255159,0.54138312,0.588243539,0.999996842
ABCG8,227.3788601,-0.039446231,0.0818992,-0.481643666,0.630059101,0.999996842
ABHD1,30887.49967,0.044772802,0.036807822,1.216393681,0.22383499,0.637304413
ABHD10,106.0228728,-0.007469136,0.057751334,-0.129332704,0.897094394,0.999996842
ABHD11,2599.680368,0.088810287,0.042594674,2.085009187,0.037068467,0.222920946
ABHD11.AS1,2.329363399,0.151171063,0.127042371,1.189926339,0.234075345,0.652276278
ABHD12,16992.97066,-0.15759311,0.044931252,-3.507427541,0.000452462,0.01082625
ABHD12B,491.3954681,0.020690215,0.024246296,0.853335057,0.393473524,0.844773293
ABHD13,318.3350844,0.005452757,0.074924171,0.072777003,0.941983572,0.999996842
ABHD14A,72.1649252,0.401835274,0.381456341,1.053424024,NA,NA
ABHD14A.ACY1,1782.099967,-0.017878849,0.025571553,-0.699169463,0.484446132,0.925276587
ABHD14B,1158.072443,-0.092853106,0.143057657,-0.649060723,0.516299128,0.950086062
ABHD15,1965.866436,0.10314581,0.042881339,2.405377559,0.016155765,0.128028289
ABHD15.AS1,0.247933838,-0.091385126,0.339071296,-0.269515962,0.787532661,0.999996842
ABHD16A,1282.156203,0.011370145,0.042213351,0.269349499,0.787660744,0.999996842
ABHD16B,63.44391124,0.170751047,0.08604302,1.984484596,0.047201844,0.257946233
ABHD17A,3294.896074,0.005289755,0.022780091,0.23220958,0.816375238,0.999996842
ABHD17AP1,1.165894541,-0.230531655,0.192238301,-1.199197314,0.230451231,0.646920652
ABHD17AP3,0.157097501,0.049540349,0.642441451,0.077112629,0.938533947,0.999996842
ABHD17AP4,23.79138328,-0.129815255,0.055334037,-2.346028986,0.018974632,0.143017503
